file_hash	file_size	file_path
0cc66c0648ad2c78190d264787c621314704be378a1f9c389de10f8875511a58	5706784	/Volumes/music/James Brown/Make It Funky - The Big Payback-1971-1975 (Disc 2)/03 Mind Power.mp3
91fd5b2847c66663bab720dec6ec095d4121361e3aa66831c1421b0ce34b9412	6334476	/Volumes/music/James Brown/At Studio 54 (Remastered)/13 The Payback - It's Too Funky In Here.mp3
91fd5b2847c66663bab720dec6ec095d4121361e3aa66831c1421b0ce34b9412	6334476	/Volumes/music/James Brown/James Brown-At Studio 54-Remastered-2006/13-the_payback_-_its_too_funky_in_here-[www.pctrecords.com].mp3
33e798c798c9957d0f6205b0c312474167aeeedf4d59764026d02547505f25cc	2503593	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/14 - Love Don't Love Nobody .mp3
33e798c798c9957d0f6205b0c312474167aeeedf4d59764026d02547505f25cc	2503593	/Volumes/music/James Brown/Messing With The Blues/14 Love Don't Love Nobody.mp3
a8884ae9e11e507d2bf03ebd27f17d0268dd232313ea4dc82a97b334e1fba22c	5121381	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 (UK) - 04 - Faces In The Mirror.mp3
a8884ae9e11e507d2bf03ebd27f17d0268dd232313ea4dc82a97b334e1fba22c	5121381	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 - 05 - Faces In The Mirror.mp3
10f30163485c979c2423c1414a63e602a986f5868c7e47bb9ae8c38cf2dc7556	67070621	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 04.flac
10f30163485c979c2423c1414a63e602a986f5868c7e47bb9ae8c38cf2dc7556	67070621	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 04.flac
aaa4a9e4955dec30eab46bd70b87eedf2f420017b0d2e7168abae2dc29ecf8a3	43578215	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 07.flac
aaa4a9e4955dec30eab46bd70b87eedf2f420017b0d2e7168abae2dc29ecf8a3	43578215	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 07.flac
728fe36ad55611349ca7238c942e0a1bee8f200a82eb95b76348d6370c25ba8e	3054119	/Volumes/music/James Brown/James Brown-Zaire soul-2000/James Brown - Zaire Soul -11 - Good Foot..mp3
728fe36ad55611349ca7238c942e0a1bee8f200a82eb95b76348d6370c25ba8e	3054119	/Volumes/music/James Brown/Live Zaire, September 1974/Good Foot.mp3
6c6f99367a9dabce996ba88ba10432701196a04f1fcb3f93adb456b6208556e2	40815954	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 05.flac
6c6f99367a9dabce996ba88ba10432701196a04f1fcb3f93adb456b6208556e2	40815954	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 05.flac
a9ed82a56e26b9b793b1a43a6c0ea0a654283209e60c079309a31da610c0a410	8001536	/Volumes/music/1967-The Moody Blues - Days of Future Passed-1967/06 - Evening - The Sun Set - Twilight Time.mp3
a9ed82a56e26b9b793b1a43a6c0ea0a654283209e60c079309a31da610c0a410	8001536	/Volumes/music/The Moody Blues-1967-1993/1967-The Moody Blues - Days of Future Passed-1967/06 - Evening - The Sun Set - Twilight Time.mp3
9c22fffd34568d550de9d22fb5005b5ba679cf2cc94b48d40543709d5789c1a2	11139990	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/01 - The Payback.mp3
9c22fffd34568d550de9d22fb5005b5ba679cf2cc94b48d40543709d5789c1a2	11139990	/Volumes/music/James Brown/Make It Funky - The Big Payback-1971-1975 (Disc 2)/01 The Payback.mp3
0d1b5c16462869f54a2bba39dbc046d4c64878b045e8444057460468d49f5c17	2337299	/Volumes/music/James Brown/James Brown-Zaire soul-2000/James Brown - Zaire Soul -09 - Papa's Got A Brand New Bag..mp3
0d1b5c16462869f54a2bba39dbc046d4c64878b045e8444057460468d49f5c17	2337299	/Volumes/music/James Brown/Live Zaire 1974/Papa's Got A Brand New Bag.mp3
a28ae9b07bc7be9a15212d2d083d480483e3e10f40b0cba5f8d8dac67fcdf263	5821587	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 1/05 - King Heroin.mp3
a28ae9b07bc7be9a15212d2d083d480483e3e10f40b0cba5f8d8dac67fcdf263	5821587	/Volumes/music/James Brown/Make It Funky - The Big Payback/06 King Heroin.mp3
969086cbc3a2789d70e0c888aecc1a3c7c8c5abe9c7c5edaafc12e09e15564da	41223882	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 15.flac
969086cbc3a2789d70e0c888aecc1a3c7c8c5abe9c7c5edaafc12e09e15564da	41223882	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 15.flac
90a19287b63fc2b8ece2c31f30366630e45d9f2ce6ef2f27ae5a024e6ec75be1	11855761	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 2/05-Honky Tonk (parts 1 & 2).mp3
90a19287b63fc2b8ece2c31f30366630e45d9f2ce6ef2f27ae5a024e6ec75be1	11855761	/Volumes/music/James Brown/Messing With The Blues (disc 2)/05 Honky Tonk (parts 1 & 2).mp3
ab3043daf550efc65e8e51fa6d64687974a5aa65f305a05d08d04c5b35e9662a	3819021	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 (UK) - 10 - I'm In It For Love.mp3
ab3043daf550efc65e8e51fa6d64687974a5aa65f305a05d08d04c5b35e9662a	3819021	/Volumes/music/Donny Osmond 18 LP-CD 1970s-2000s Discography/Donny Osmond - Donny Osmond '89 - 11 - I'm In It For Love.mp3
62daa5f7505d2a4ff7e6d91757e8c7e3b3656f4e66df20a9980fa8b53ada23b2	3072956	/Volumes/music/James Brown/James Brown-Zaire soul-2000/James Brown - Zaire Soul -04 - MakeItFunky..mp3
62daa5f7505d2a4ff7e6d91757e8c7e3b3656f4e66df20a9980fa8b53ada23b2	3072956	/Volumes/music/James Brown/Live Zaire, September 1974/Make It Funky.mp3
78603e194e5f9c1937db367e6bdb2134e310d5c166e8481f87f883ad6a7bc729	4477056	/Volumes/music/James Brown/James Brown-20 All-Time Greatest Hits!-1991/09 - It's a Man's Man's Man's World.mp3
78603e194e5f9c1937db367e6bdb2134e310d5c166e8481f87f883ad6a7bc729	4477056	/Volumes/music/James Brown/The Very Best of James Brown/07 It's a man's man's man's world.mp3
cde85bc33e50e0bc1d7e3b47163a7f4a57a352036793688ce456b927d4d0e9ca	4169995	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/08 - My Thang.m4a
cde85bc33e50e0bc1d7e3b47163a7f4a57a352036793688ce456b927d4d0e9ca	4169995	/Volumes/music/James Brown/Make It Funky - The Big Payback 1971-1975 (Disc 2)/2-08 My Thang.m4a
d932080e34f66b68c232df2c6b0ee9552e7e2586c9daa74e2c60329c72e70a8d	4714624	/Volumes/music/1967-The Moody Blues - Days of Future Passed-1967/03 - The Morning [Another Morning].mp3
d932080e34f66b68c232df2c6b0ee9552e7e2586c9daa74e2c60329c72e70a8d	4714624	/Volumes/music/The Moody Blues-1967-1993/1967-The Moody Blues - Days of Future Passed-1967/03 - The Morning [Another Morning].mp3
cd8b55bd577fd3fffc4a4677c395c40586d3c67bcf294d31d3254568848b482a	38370782	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 10.flac
cd8b55bd577fd3fffc4a4677c395c40586d3c67bcf294d31d3254568848b482a	38370782	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 10.flac
4353fb1d10abb4709d3737d3df47e0f99e88dc5849d6f3f5de38a15ae5b684f1	101683510	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 12.flac
4353fb1d10abb4709d3737d3df47e0f99e88dc5849d6f3f5de38a15ae5b684f1	101683510	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 12.flac
9d2ffc1c67d01f95a81d4c54424e1a40b8aa6bedbdd76fd0e69e8173ca465262	2821461	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/11 - Problems.m4a
9d2ffc1c67d01f95a81d4c54424e1a40b8aa6bedbdd76fd0e69e8173ca465262	2821461	/Volumes/music/James Brown/Make It Funky - The Big Payback 1971-1975 (Disc 2)/2-11 Problems.m4a
7ec977b5cf27eb0a7ee2e38b486930f5ebd064bd1e5077a4a9ff255d387aaed6	6352528	/Volumes/music/James Brown/At Studio 54 (Remastered)/07 Get On The Good Foot.mp3
7ec977b5cf27eb0a7ee2e38b486930f5ebd064bd1e5077a4a9ff255d387aaed6	6352528	/Volumes/music/James Brown/James Brown-At Studio 54-Remastered-2006/07-get_on_the_good_foot-[www.pctrecords.com].mp3
2d037f5640ce538c8420bd34719c4b58451ebf851023ecd3d1dad68302c62c78	5981993	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/12 - Turn On The Heat And Build Some.m4a
2d037f5640ce538c8420bd34719c4b58451ebf851023ecd3d1dad68302c62c78	5981993	/Volumes/music/James Brown/Make It Funky - The Big Payback 1971-1975 (Disc 2)/2-12 Turn On The Heat And Build Some Fire.m4a
e6d5dc9bd31d211a72311d709d2368eabf92159ab3d25014e6e9b41fcf22e190	4067022	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/09 - Funky President (People It's Ba.m4a
e6d5dc9bd31d211a72311d709d2368eabf92159ab3d25014e6e9b41fcf22e190	4067022	/Volumes/music/James Brown/Make It Funky - The Big Payback 1971-1975 (Disc 2)/2-09 Funky President (People It's Bad).m4a
6dd2c760bc88c6144ef2daeaff0db886dd0b3ce7f7f1943bf24d8a0cee6ae6b5	6352058	/Volumes/music/James Brown/James Brown-Zaire soul-2000/James Brown - Zaire Soul -12- Zaire Soul..mp3
6dd2c760bc88c6144ef2daeaff0db886dd0b3ce7f7f1943bf24d8a0cee6ae6b5	6352058	/Volumes/music/James Brown/Live Zaire, September 1974/Zaire Soul.mp3
151b19d4983ebd5ba0b800ce42d8a75a9b13c511d25f068c8429ed2a3821671f	2670777	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/08 - Messing With The Blues .mp3
151b19d4983ebd5ba0b800ce42d8a75a9b13c511d25f068c8429ed2a3821671f	2670777	/Volumes/music/James Brown/Messing With The Blues/08 Messing With The Blues.mp3
5339ca400a860007b9261023de94d062eeaf439138399feb0aefda81cfb2b655	7139935	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 2/13 - Hot Pants Finale (live).m4a
5339ca400a860007b9261023de94d062eeaf439138399feb0aefda81cfb2b655	7139935	/Volumes/music/James Brown/Make It Funky - The Big Payback 1971-1975 (Disc 2)/2-13 Hot Pants Finale (live).m4a
9263b9e53e12f7adf78d0baf2cb71a0a771e1583c1194de97185d566a820df94	31643613	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 09.flac
9263b9e53e12f7adf78d0baf2cb71a0a771e1583c1194de97185d566a820df94	31643613	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 09.flac
7cfdbe7c7fc570017c9152c16ea74ba2b0cd43f16d93ba78afdd9559e7b697e0	4404819	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/04 - Somebody Done Changed The Lock On My Door .mp3
7cfdbe7c7fc570017c9152c16ea74ba2b0cd43f16d93ba78afdd9559e7b697e0	4404819	/Volumes/music/James Brown/Messing With The Blues/04 Somebody Done Changed The Lock On My Door [#].mp3
e4fe50bdf10c6290d431657cd56001b09115d441f89f812930ca6cebfc46a29d	18536533	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 1/04 - Make It Funky, Parts 1, 2, 3 & 4.mp3
e4fe50bdf10c6290d431657cd56001b09115d441f89f812930ca6cebfc46a29d	18536533	/Volumes/music/James Brown/Make It Funky - The Big Payback/05 Make It Funky, Parts 1, 2, 3 &.mp3
6f98e3e77d0364c53b8c6f8d3d4e0f71417743908af3626c0679edea73b9d1b4	3185386	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 1/06 - Good Rochin' Tonight .mp3
6f98e3e77d0364c53b8c6f8d3d4e0f71417743908af3626c0679edea73b9d1b4	3185386	/Volumes/music/James Brown/Messing With The Blues/06 Good Rockin' Tonight.mp3
b410e2fce654617eb912426639ceb25bb9523f781ed085220c00d73a49eaefa2	7028736	/Volumes/music/1967-The Moody Blues - Days of Future Passed-1967/01 - The Day Begins.mp3
b410e2fce654617eb912426639ceb25bb9523f781ed085220c00d73a49eaefa2	7028736	/Volumes/music/The Moody Blues-1967-1993/1967-The Moody Blues - Days of Future Passed-1967/01 - The Day Begins.mp3
3d1f8b0c5a56b12752f501e0394b23677fb982dbe4f88706ac759c271ee8d005	4575232	/Volumes/music/1967-The Moody Blues - Days of Future Passed-1967/02 - Dawn [Dawn is a Feeling].mp3
3d1f8b0c5a56b12752f501e0394b23677fb982dbe4f88706ac759c271ee8d005	4575232	/Volumes/music/The Moody Blues-1967-1993/1967-The Moody Blues - Days of Future Passed-1967/02 - Dawn [Dawn is a Feeling].mp3
47b6e1561ccedd5e5dd203f16b89bbc7fd721cf7e2b0a171ab9ac5052b386ec5	8065930	/Volumes/music/Wang Chung Discography/08 - Wait.mp3
47b6e1561ccedd5e5dd203f16b89bbc7fd721cf7e2b0a171ab9ac5052b386ec5	8065930	/Volumes/music/Wang Chung Discography/08 - Wait (2).mp3
6cc06c5776c3927b9edd351b466febc59648ac4288c215a149f3e2c68221caf4	10841486	/Volumes/music/James Brown/James Brown-Make It Funky-The Big Payback-1971-1975-Cd 1/06 - I Got Ants In My Pants (And I Want To Dance).mp3
6cc06c5776c3927b9edd351b466febc59648ac4288c215a149f3e2c68221caf4	10841486	/Volumes/music/James Brown/Make It Funky - The Big Payback/07 I Got Ants In My Pants (And I.mp3
3fa870285848ad3a024931ac7863b78f888a36366ed315ca5406770946b15c65	53062116	/Volumes/music/Miles Davis/Miles Davis   Live In Munich/Track 08.flac
3fa870285848ad3a024931ac7863b78f888a36366ed315ca5406770946b15c65	53062116	/Volumes/music/Miles Davis/Miles Davis   Munich 1988/Track 08.flac
ac16e18519cda44139aee3a525aad156962bd7e1e9afe78a9d5bbc0404332b58	4664321	/Volumes/music/James Brown/James Brown-20 All-Time Greatest Hits!-1991/12 - Cold Sweat, Pt. 1.mp3
ac16e18519cda44139aee3a525aad156962bd7e1e9afe78a9d5bbc0404332b58	4664321	/Volumes/music/James Brown/The Very Best of James Brown/08 Cold sweat.mp3
b2503fc63073126111763f67823c9d06be190a8d5c06f4ad39151121725e1b5b	2072704	/Volumes/music/James Brown/James Brown-Messing with the blues-Cd 2/08-Radio Spot.mp3
b2503fc63073126111763f67823c9d06be190a8d5c06f4ad39151121725e1b5b	2072704	/Volumes/music/James Brown/Messing With The Blues (disc 2)/08 Radio Spot.mp3
